accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,model,fold
0.6698240866035182,0.6744099970683084,0.6164658634538153,0.8527777777777777,0.7156177156177156,0.3719195717929944,0.34550021415452514,0.8527777777777771,0.49604221635883866,0.7838659239714648,0.7803223424804682,svm_rbf,3
0.6391520072169599,0.6451101827421089,0.5867410161090458,0.8768518518518519,0.7030438010393467,0.32599397498442867,0.2866674871438466,0.8768518518518511,0.41336851363236554,0.7703724062673052,0.7494408558713833,random_forest,3
0.6346414073071719,0.6390879996091078,0.5909703504043127,0.812037037037037,0.6840873634945398,0.2955580748150954,0.2755919043077951,0.8120370370370363,0.4661389621811782,0.6803910550832274,0.6295113675614753,mlp,3
0.6811005863779883,0.6856823512166521,0.6249162759544541,0.8638888888888889,0.7252234745433346,0.3958161822118713,0.3678388165815071,0.8638888888888882,0.5074758135444147,0.7751034235642855,0.7607381405407999,xgboost,3
0.6783942264321154,0.6817441121860647,0.6322999279019467,0.812037037037037,0.7109850020267532,0.375409431500377,0.36091660976162954,0.8120370370370363,0.5514511873350919,0.7077429232222548,0.630430455628996,standard_anfis,3
0.6829059829059829,0.6877130110436627,0.6307277628032345,0.8283185840707965,0.7161438408569243,0.3894955012801853,0.3715778958493189,0.8283185840707958,0.5471074380165285,0.7116422877203247,0.5920105623919887,logreg,4
0.7,0.7062312586849997,0.6354430379746835,0.8884955752212389,0.7409594095940959,0.44013008465570874,0.4071031545513607,0.8884955752212382,0.5239669421487599,0.8405104951364002,0.8446641502728591,svm_rbf,4
0.7405982905982906,0.7447853433774592,0.6819763395963814,0.8672566371681416,0.7635372029606544,0.5025451129820437,0.485212890879833,0.8672566371681409,0.6223140495867764,0.8541995172968625,0.8534601404369555,random_forest,4
0.6735042735042736,0.6789146493088569,0.6199213630406291,0.8371681415929203,0.7123493975903614,0.37542080346322854,0.3537313648654511,0.8371681415929196,0.520661157024793,0.7061606816353397,0.5860611666955613,mlp,4
0.726068376068376,0.731116068163534,0.6633266533066132,0.8787610619469026,0.7559954320517701,0.48113544861247487,0.45732210306950893,0.878761061946902,0.5834710743801649,0.8467168872961311,0.8491869263718138,xgboost,4
0.6807692307692308,0.685880933226066,0.6272425249169435,0.8353982300884956,0.7165085388994308,0.3877798685334733,0.3677277002097953,0.8353982300884949,0.5363636363636359,0.7181086813427924,0.6322754660400088,standard_anfis,4
