accuracy,balanced_accuracy,precision,recall,f1,mcc,kappa,sensitivity,specificity,roc_auc,pr_auc,model,fold
0.8980891719745223,0.8953657311227885,0.9238329238329238,0.8526077097505669,0.8867924528301887,0.7965133903940409,0.7943988977860231,0.8526077097505649,0.938123752495008,0.9506225643950195,0.9525559732362147,random_forest,2
0.8036093418259024,0.8055928958409712,0.7655601659751037,0.8367346938775511,0.7995666305525461,0.6101111645231414,0.6078020983836774,0.8367346938775491,0.7744510978043896,0.8940486374190395,0.8895876486928869,mlp,2
0.8832271762208068,0.8811221095224517,0.8968824940047961,0.8480725623582767,0.8717948717948718,0.7657457900178726,0.7647363330472571,0.8480725623582747,0.9141716566866249,0.9448721604410227,0.9455962018599688,xgboost,2
0.8481953290870489,0.846422800657189,0.8514150943396226,0.81859410430839,0.8346820809248555,0.6949072033989139,0.6944486029641929,0.8185941043083881,0.8742514970059863,0.9161654016230578,0.9155861846141398,standard_anfis,2
0.7897623400365631,0.7844980590700312,0.7663125948406677,0.8691910499139415,0.8145161290322581,0.5801879658380694,0.5741043530658325,0.8691910499139399,0.6998050682261194,0.8662150691320001,0.8487767704789577,logreg,3
0.6892138939670932,0.6753463310216639,0.6500622665006227,0.8984509466437177,0.7543352601156069,0.3960674573681781,0.359804478408289,0.8984509466437162,0.4522417153996092,0.8175525829298816,0.8412179399488325,svm_rbf,3
0.7093235831809872,0.6974732681771363,0.6710013003901171,0.8881239242685026,0.7644444444444445,0.4313007445013688,0.40360212712704135,0.8881239242685011,0.506822612085769,0.8518401089739073,0.8820194615978257,random_forest,3
0.7312614259597806,0.722462112443089,0.700139470013947,0.8640275387263339,0.773497688751926,0.467199692575778,0.45193556192469053,0.8640275387263324,0.5808966861598429,0.8038385790446665,0.7936252134948156,mlp,3
0.6992687385740403,0.6875505363140113,0.664490861618799,0.8760757314974182,0.7557535263548627,0.40854862023944555,0.38318772428306536,0.8760757314974167,0.4990253411306033,0.8256115523078109,0.8520551507638953,xgboost,3
0.7093235831809872,0.7010095519924309,0.685997171145686,0.8347676419965576,0.7531055900621118,0.41959301576002367,0.4078817029707015,0.8347676419965562,0.567251461988303,0.7831308525664898,0.7880612872169696,standard_anfis,3
0.7332667332667333,0.7348208937342757,0.6937716262975778,0.8167006109979633,0.7502338634237605,0.4752897664599791,0.46809679326053344,0.8167006109979617,0.6529411764705869,0.8129507607523662,0.764599584148651,logreg,4
0.7332667332667333,0.7358452138492871,0.6772151898734177,0.8716904276985743,0.7622439893143366,0.4887774652224318,0.4691806736458265,0.8716904276985725,0.5999999999999988,0.8342238728485284,0.8282422792306599,svm_rbf,4
0.7262737262737263,0.728489277584761,0.6769983686786297,0.845213849287169,0.7518115942028986,0.46889494877548293,0.45487321569827766,0.8452138492871673,0.6117647058823518,0.8359710075476219,0.8316012791290972,random_forest,4
0.7022977022977023,0.7038596701409688,0.6666666666666666,0.7861507128309573,0.7214953271028037,0.4127543315797803,0.4063626883612077,0.7861507128309556,0.6215686274509792,0.7811309452497904,0.7282715366358432,mlp,4
0.7402597402597403,0.7422527055628769,0.6921797004991681,0.8472505091649695,0.7619047619047619,0.4944896821746352,0.48249189715853735,0.8472505091649677,0.637254901960783,0.8505770536320434,0.8366048467801963,xgboost,4
0.7512487512487512,0.7534163971087416,0.6983606557377049,0.8676171079429735,0.773841961852861,0.5193226274761881,0.5045549325058987,0.8676171079429718,0.6392156862745085,0.8122359330697656,0.7498728379577312,standard_anfis,4
0.6872037914691943,0.6972843610437987,0.6188235294117647,0.8795986622073578,0.7265193370165746,0.41937771618962044,0.38604500788666707,0.8795986622073564,0.5149700598802387,0.7519951735325336,0.6808920399080138,logreg,5
0.6769352290679305,0.6901823443414176,0.6023835319609967,0.9297658862876255,0.7310979618671927,0.4272588870930964,0.3698334384028781,0.9297658862876238,0.4505988023952089,0.8298507500050067,0.789312335937437,svm_rbf,5
0.7259083728278041,0.7368523821921376,0.6447520184544406,0.9347826086956522,0.7631399317406143,0.5090384401370411,0.4627970622115589,0.9347826086956506,0.5389221556886219,0.8048998157531091,0.733696953876791,random_forest,5
0.6903633491311216,0.7023811907956662,0.6152125279642058,0.919732441471572,0.7372654155495979,0.44360735332872375,0.39453033497306156,0.9197324414715703,0.48502994011975975,0.8214031802615505,0.7833266058622924,mlp,5
0.693522906793049,0.7065142290669497,0.6146288209606987,0.9414715719063546,0.7437252311756936,0.4610383372699758,0.40183246710862797,0.9414715719063529,0.4715568862275442,0.8445329241183185,0.8255165997428545,xgboost,5
0.6571879936808847,0.6680526906054113,0.5942528735632184,0.8645484949832776,0.7043596730245232,0.3619154053499951,0.328281790974708,0.8645484949832761,0.4715568862275442,0.68616195702241,0.5832829190536164,standard_anfis,5
0.6847253574115877,0.6845646491872908,0.6671802773497689,0.6808176100628931,0.6739299610894942,0.3688900044167589,0.36881926285113864,0.680817610062892,0.6883116883116873,0.7469097987965914,0.7306039522783381,logreg,6
0.7253574115876599,0.7250775953606142,0.7107309486780715,0.7185534591194969,0.7146207974980453,0.4499765619550699,0.44995152484139267,0.7185534591194958,0.7316017316017305,0.8192470527376188,0.8303854481918326,svm_rbf,6
0.7246049661399548,0.7241621062375779,0.7115987460815048,0.7138364779874213,0.7127158555729984,0.44826827752559567,0.4482662401742268,0.7138364779874202,0.7344877344877334,0.7649563923148829,0.6675641728589171,random_forest,6
0.7411587659894657,0.740875738517248,0.7274143302180686,0.7342767295597484,0.730829420970266,0.48158433023402447,0.4815646411245603,0.7342767295597472,0.7474747474747464,0.8256464011180991,0.8215071166220542,mlp,6
